FMID,season,seasonOpenning,seasonClosing,seasonTime
1004761,June - September,June , September,Tue: 3:00 PM-6:00 PM;
1007016,,,,
1002222,April - May,April , May,Sat:10:00 am - 1:00 pm;
1008252,,,,Sat: 8:00 AM-12:30 PM;
1003236,,,,
1011910,April ,April ,,Mon: 3:00 PM-6:00 PM;
1010597,June - September,June , September,Sat: 8:00 AM-12:00 PM;
1000519,May - September,May , September,Fri: 9:00 AM-3:00 PM;
1018643,January - December,January , December,Tue: 3:00 PM-6:00 PM;
1019113,May - June,May , June,Sat: 9:00 AM-12:00 PM;
1011196,July - October,July ,October,Sun: 11:00 AM-3:00 PM;
1007217,,,,
1001300,,,,
1007528,,,,
1008835,June - October,June ,October,Tue: 11:00 AM-4:00 PM;
1005548,November - April,November , April,Sun: 1:00 AM-4:00 AM;
1011735,October - July,October , July,Mon: 10:00 AM-6:00 PM;Thu: 10:00 AM-6:00 PM;Fri: 10:00 AM-6:00 PM;Sat: 1:00 PM-6:00 PM;
1010096,May - October,May ,October,Sun: 12:00 PM-4:00 PM;
1000268,,,,
1000168,,,,
1001962,June - October,June ,October,Mon: 3:30 AM-6:00 AM;
1002717,May - October,May ,October,Thu: 8:00 AM-2:00 PM;
1008262,May - October,May ,October,Sat: 9:00 AM-1:00 PM;
1018160,,,,Tue: 1:30 PM-5:30 PM;
1018165,May - September,May , September,Sat: 8:30 AM-11:30 AM;
1018105,April - October,April ,October,Thu: 5:30 PM-7:00 PM;
1011777,May - October,May ,October,Wed: 2:30 PM-7:00 PM;
1007413,,,,
1007716,,,,
1007083,,,,
1002964,,,,
1005675,June - October,June ,October,Sat: 9:00 AM-12:00 PM;
1006739,,,,Sat: 9:00 AM-1:00 PM;
1002683,June - October,June ,October,
1005134,May - October,May ,October,Sat: 11:00 AM-3:00 PM;
1006816,,,,
1002250,May - October,May ,October,Wed: 7:00 AM-1:00 PM;Sat: 7:00 AM-1:00 PM;
1007836,,,,
1012389,May - September,May , September,Thu: 3:00 PM-7:00 PM;
1010476,January - December,January , December,Wed: 8:00 AM-1:00 PM;Sat: 8:00 AM-1:00 PM;
1005447,June - September,June , September,Wed: 10:00 AM-5:00 PM;
1009792,June - October,June ,October,Tue: 3:00 PM-7:00 PM;
1009998,March - November,March ,November,Wed: 4:00 PM-8:00 PM;
1004383,July - September,July , September,Mon: 11:00 AM-6:00 PM;Tue: 11:00 AM-6:00 PM;Thu: 11:00 AM-6:00 PM;Fri: 11:00 AM-6:00 PM;Sat: 10:00 AM-2:00 PM;Sun: 10:00 AM-2:00 PM;
1000357,,,,
1006749,June - October,June ,October,Wed: 4:00 PM-7:00 PM;Sat: 8:00 AM-12:00 PM;
1004154,,,,
1001100,June - October,June ,October,Tue:5:00 pm - 8:00 pm;Fri:5:00 pm - 8:00 pm;
1011421,January - December,January , December,Sun: 8:00 AM-1:00 PM;
1001733,,,,
1005644,June - October,June ,October,Sun: 9:00 AM-12:00 PM;
1005645,June - October,June ,October,Wed: 3:00 PM-6:00 PM;
1005646,June - October,June ,October,Sat: 9:00 AM-12:00 PM;
1001826,,,,
1008321,April - September,April , September,Tue: 4:00 AM-7:00 PM;
1008399,January - December,January , December,Sat: 9:00 AM-1:00 PM;
1006373,,,,
1001367,,,,
1005946,,,,
1005188,June - October,June ,October,Mon:3:00 pm - 6:00 pm;
1011171,May - October,May ,October,Sat: 8:00 AM-12:30 PM;
1000284,April - November,April ,November,Sat: 8:00 AM-1:30 PM;
1006748,May - October,May ,October,Wed: 2:00 PM-6:00 PM;
1009833,December - March,December , March,Sat: 10:00 AM-2:00 PM;
1003563,May - September,May , September,Fri: 3:30 PM-7:00 PM;
1018789,April - October,April ,October,Fri: 3:30 PM-7:00 PM;
1001135,July - September,July , September,Fri: 2:00 PM-6:00 PM;
1019438,May - October,May ,October,Sun: 11:00 AM-2:00 PM;
1016853,May - ,May , ,Wed: 3:00 PM-6:00 PM;Sat: 10:00 AM-2:00 PM;
1012157,July - September,July , September,Tue: 4:00 PM-7:00 PM;
1005944,November - November,November ,November,Sat: 10:00 AM-4:00 PM;Sun: 10:00 AM-4:00 PM;
1001105,July - September,July , September,Mon: 6:00 PM-8:00 PM;
1003055,,,,
1007258,May - October,May ,October,Sat: 9:00 AM-2:00 PM;
1002640,May - September,May , September,Sat:10:00 am - 6:00 pm;sun:10:00 am - 6:00 pm;
1018744,May - October,May ,October,Sat: 8:00 AM-12:00 PM;
1008251,June - November,June ,November,Tue: 8:00 AM-1:00 PM;Thu: 8:00 AM-1:00 PM;Sat: 8:00 AM-1:00 PM;
1008727,April - October,April ,October,Fri: 11:00 AM-6:00 PM;Sat: 9:00 AM-5:00 PM;Sun: 12:00 PM-4:00 PM;
1000971,,,,
1004991,April - November,April ,November,Sat: 9:00 AM-1:00 PM;
1002089,,,,
1003516,September - October,September ,October,Wed: 3:00 PM-7:00 PM;
1007647,May - October,May ,October,Tue:2:30 PM - 6:30 PM;
1018698,June - October,June ,October,Sat: 10:00 AM-2:00 PM;
1000287,,,,
1006378,June - September,June , September,Sat: 9:00 AM-1:00 PM;
1010280,January - December,January , December,Mon: 9:00 AM-5:30 PM;Tue: 9:00 AM-5:30 PM;Wed: 9:00 AM-5:30 PM;Thu: 9:00 AM-5:30 PM;Fri: 9:00 AM-5:30 PM;Sat: 9:00 AM-4:00 PM;Sun: 11:00 AM-3:00 PM;
1006268,June - October,June ,October,Fri:5:00 PM - 8:00 PM;
1010223,June - October,June ,October,Wed: 4:00 PM-8:00 PM;
1010380,June - September,June , September,Tue: 10:00 AM-2:00 PM;
1001782,,,,
1019484,May - ,May , ,Thu: 8:00 AM-12:00 PM;
1019096,May - October,May ,October,Sat: 8:00 AM-12:00 PM;
1001142,January - December,January , December,Sun: 10:00 AM-2:00 PM;
1004881,,,,
1001465,July - October,July ,October,Thu:2:00 PM - 5:00 PM;
1007646,June - June,June , June,Sat:7:00 AM - 12:00 PM;
1007636,,,,
1000306,May - August,May , August,Wed:2:00 PM - 6:00 PM;
1000405,June - November,June ,November,Wed:7:00 AM - 1:00 PM;Sat:7:00 AM - 1:00 PM;
1011248,May - November,May ,November,Sat: 9:00 AM-12:00 PM;
1012651,October - May,October , May,Sun: 9:00 AM-1:00 PM;
1000434,June - October,June ,October,Sat: 7:30 AM-9:30 AM;
1018934,June - October,June ,October,Sat: 8:00 AM-12:00 PM;
1019350,,,,Thu: 2:00 PM-6:00 PM;
1011109,April - October,April ,October,Sat: 8:30 AM-12:30 PM;
1011158,May - October,May ,October,Wed: 10:00 AM-2:00 PM;
1005207,May - May,May , May,Sat:7:00 am - 12:00 pm;
1000683,June - September,June , September,Mon:9:00 AM - 5:30 PM;Tue:9:00 AM - 5:30 PM;Wed:9:00 AM - 5:30 PM;Thu:9:00 AM - 5:30 PM;Fri:9:00 AM - 5:30 PM;Sat:9:00 AM - 5:30 PM;
1000685,January - December,January , December,Mon:9:00 AM - 6:00 PM;Tue:9:00 AM - 6:00 PM;Wed:9:00 AM - 6:00 PM;Thu:9:00 AM - 6:00 PM;Fri:9:00 AM - 6:00 PM;Sat:9:00 AM - 6:00 PM;sun:9:00 AM - 4:00 PM;
1006889,,,,
1018356,September - October,September ,October,Wed: 9:00 AM-12:00 PM;
1000431,June - October,June ,October,Sat: 8:00 AM-12:30 PM;
1009687,January - December,January , December,Sat: 8:00 AM-12:00 PM;
1001738,January - December,January , December,Sat: 9:00 AM-1:00 PM;
1010986,May - October,May ,October,Wed: 2:00 PM-6:00 PM;
1008482,,,,
1001764,June - October,June ,October,Sat:9:00 AM - 1:00 PM;
1000558,May - October,May ,October,Sat: 7:00 AM-12:00 PM;
1012474,June - October,June ,October,Fri: 2:00 PM-5:00 PM;
1012410,May - November,May ,November,Wed: 12:00 PM-2:00 PM;
1012375,May - October,May ,October,Tue: 3:00 PM-6:00 PM;
1012453,June - October,June ,October,Thu: 3:00 PM-6:00 PM;
1012422,May - November,May ,November,Thu: 10:00 AM-12:00 PM;
1012455,May - November,May ,November,Fri: 10:00 AM-12:00 PM;
1012477,May - November,May ,November,Fri: 3:00 PM-6:00 PM;
1012413,June - October,June ,October,Wed: 3:00 PM-6:00 PM;
1012419,May - November,May ,November,Wed: 4:00 PM-7:00 PM;
1012454,May - November,May ,November,Thu: 3:00 PM-6:00 PM;
1012374,May - November,May ,November,Tue: 4:00 PM-6:00 PM;
1012427,June - October,June ,October,Thu: 10:00 AM-12:00 PM;
1012377,June - October,June ,October,Wed: 10:00 AM-12:00 PM;
1002085,January - December,January , December,Sat: 9:00 AM-2:00 PM;
1018326,April - November,April ,November,Sun: 10:00 AM-3:00 PM;
1007662,,,,
1002798,June - October,June ,October,Sat:9:00 AM - 1:00 PM;
1019187,January - December,January , December,Mon: 7:00 AM-7:00 PM;Tue: 7:00 AM-7:00 PM;Wed: 7:00 AM-7:00 PM;Thu: 7:00 AM-7:00 PM;Fri: 7:00 AM-7:00 PM;Sat: 7:00 AM-6:00 PM;Sun: 8:00 AM-6:00 PM;
1002314,,,,
1005928,,,,
1005927,,,,
1002621,,,,
1002622,,,,
1002620,,,,
1001018,January - December,January , December,Mon: 5:00 PM-6:00 PM;Sat: 10:00 AM-12:00 PM;
1017963,June - September,June , September,Thu: 4:00 PM-7:00 PM;
1009968,June - October,June ,October,Wed: 2:00 PM-6:30 PM;
1018561,July - September,July , September,Sat: 10:00 AM-3:00 PM;
1008236,June - October,June ,October,Thu: 3:00 PM-7:00 PM;
1018253,January - April,January , April,Sat: 9:00 AM-12:00 PM;
1003571,,,,
1010945,April - October,April ,October,Wed: 3:00 PM-7:00 PM;
1011958,June - October,June ,October,Sat: 10:00 AM-2:00 PM;
1011122,May - October,May ,October,Sat: 8:00 AM-12:00 PM;
1019466,,,,Thu: 3:30 PM-7:00 PM;
1019222,May - October,May ,October,Sat: 8:00 AM-12:00 PM;
1000294,,,,
1001892,,,,
1001893,,,,
1006270,,,,
1019495,January - December,January , December,Fri: 6:00 PM-9:00 PM;
1008855,June - September,June , September,Sun: 10:00 AM-3:00 PM;
1010575,January - December,January , December,Sat: 10:00 AM-2:00 PM;
1008534,June - September,June , September,Thu: 3:30 PM-7:00 PM;
1007842,,,,
1005081,June - September,June , September,Sun: 9:00 AM-1:30 PM;
1009285,,,,
1009272,,,,
1004350,June - October,June ,October,Thu:4:00 PM - 7:00 PM;
1000397,,,,
1002490,,,,
1016829,June - October,June ,October,Thu: 4:00 PM-7:00 PM;
1007600,,,,
1003575,,,,
1003219,November - December,November , December,Sat: 10:00 AM-2:00 PM;
1008904,January - December,January , December,Sat: 8:00 AM-12:00 PM;
1008905,April - October,April ,October,Wed: 12:00 PM-4:00 PM;
1000887,,,,
1007501,,,,
1005158,June - October,June ,October,Sat: 8:00 AM-12:00 PM;
1008897,May - November,May ,November,Sat: 9:00 AM-12:00 PM;
1009810,June - October,June ,October,Sat: 9:00 AM-1:00 PM;
1000465,,,,
1003642,,,,
1006964,,,,
1000836,July - September,July , September,Sat:8:00 AM - 12:00 PM;
1018712,June - October,June ,October,Fri: 3:00 PM-7:00 PM;
1004530,,,,
1009244,,,,
1004692,June - October,June ,October,Wed: 10:00 AM-2:00 PM;
1005837,,,,
1000086,July - November,July ,November,Wed: 8:00 AM-3:00 PM;
1003661,May - October,May ,October,Sun: 10:00 AM-3:00 PM;
1001245,June - August,June , August,Tue: 12:00 PM-5:30 PM;Sat: 7:00 AM-1:00 PM;
1009516,,,,
1009447,,,,
1003911,,,,
1001294,,,,
1002984,May - October,May ,October,Wed: 2:30 PM-5:30 PM;Sat: 8:00 AM-12:00 PM;
1005086,January - December,January , December,Wed: 9:00 AM-12:00 PM;Thu: 4:00 PM-7:00 PM;Sat: 9:00 AM-12:00 PM;
1003223,,,,
1018305,June - September,June , September,Fri: 2:00 PM-6:00 PM;
1010034,June - October,June ,October,Tue: 4:00 PM-6:00 PM;Thu: 4:00 PM-6:00 PM;Sat: 5:00 PM-9:00 PM;
1008974,April - October,April ,October,Wed: 4:00 PM-7:00 PM;
1018033,April - November,April ,November,Wed: 4:00 PM-7:00 PM;
1018032,March - December,March , December,Sat: 8:00 AM-12:00 PM;
1000297,January - December,January , December,Thu:4:30 PM - 8:00 PM;
1011861,June - August,June , August,Sat: 8:00 AM-12:00 PM;
1002987,,,,Mon: 9:00 AM-6:00 PM;Tue: 9:00 AM-6:00 PM;Wed: 9:00 AM-6:00 PM;Thu: 9:00 AM-6:00 PM;Fri: 9:00 AM-6:00 PM;Sat: 9:00 AM-6:00 PM;
1000750,June - October,June ,October,Sat:9:00 AM - 12:00 PM;
1006095,,,,
1000708,July - October,July ,October,Thu:10:00 am - 4:00 pm;Sat:10:00 am - 4:00 pm;
1000464,,,,
1006303,June - October,June ,October,Fri: 12:00 PM-6:00 PM;
1001503,,,,Sat: 7:00 AM-12:00 PM;
1002860,June - September,June , September,Thu: 2:00 PM-6:00 PM;
1018330,June - October,June ,October,Sat: 9:00 AM-1:00 PM;
1010003,January - December,January , December,Sun: 10:00 AM-2:00 PM;
1000655,,,,
1006311,June - September,June , September,Wed:3:00 pm - 7:00 pm;
1002377,June - October,June ,October,Tue: 7:00 AM-2:00 PM;Thu: 7:00 AM-2:00 PM;Sat: 7:00 AM-2:00 PM;
1001349,,,,
1003772,April - September,April , September,Tue: 1:00 PM-6:00 PM;
1019347,June - September,June , September,Sun: 10:00 AM-3:00 PM;
1006712,,,,
1018270,May - October,May ,October,Tue: 4:00 PM-7:00 PM;
1006410,June - September,June , September,Thu: 2:30 PM-6:30 PM;
1001569,,,,
1000736,,,,
1003923,June - September,June , September,Thu:4:00 PM - 7:00 PM;
1005375,,,,
1008999,January - December,January , December,Mon: 6:00 PM-10:00 PM;
1003866,,,,
1004300,,,,
1000870,January - December,January , December,Mon:7:00 AM - 7:00 PM;Tue:7:00 AM - 7:00 PM;Wed:7:00 AM - 7:00 PM;Thu:7:00 AM - 7:00 PM;Fri:7:00 AM - 7:00 PM;Sat:7:00 AM - 3:30 PM;
1000559,November - May,November , May,Sat: 9:00 AM-12:00 PM;
1005604,November - February,November , February,Sat: 9:00 AM-12:00 PM;
1010694,November - February,November , February,Sat: 7:00 AM-12:00 PM;
1011929,June - October,June ,October,Sat: 8:00 AM-12:00 PM;
1011927,July - August,July , August,Thu: 10:00 AM-2:00 PM;
1011928,July - September,July , September,Wed: 12:00 PM-5:00 PM;
1001695,June - September,June , September,Fri:4:00 pm - 7:00 pm;
1002491,,,,
1012430,May - October,May ,October,Mon: 4:00 PM-7:00 PM;Thu: 4:00 PM-7:00 PM;Sat: 9:00 AM-12:00 PM;
1011490,June - August,June , August,Mon: 5:00 PM-8:00 PM;
1011826,April - June,April , June,Thu: 5:00 AM-7:00 PM;
1005376,,,,
1010695,April - October,April ,October,Sat: 7:00 AM-12:00 PM;
1003539,February - September,February , September,Sat:10:00 AM - 9:30 PM;sun:12:00 PM - 8:00 PM;
1007033,,,,
1019396,June - August,June , August,Tue: 4:00 PM-7:00 PM;
1011092,June - ,June , ,Tue: 3:00 PM-6:00 PM;
1019126,July - August,July , August,Mon: 4:00 PM-7:00 PM;
1000898,June - October,June ,October,Wed: 3:00 PM-6:00 PM;
1000502,,,,
1003520,April - November,April ,November,Sat:10:00 AM - 3:00 PM;
1007435,,,,
1006907,,,,
1004803,July - October,July ,October,Wed: 4:30 PM-7:00 PM;
1010696,May - October,May ,October,Tue: 8:00 AM-2:00 PM;
1005235,May - October,May ,October,Sat:8:00 AM - 12:00 PM;
1010697,May - October,May ,October,Thu: 8:00 AM-2:00 PM;
1002624,,,,
1000029,July - October,July ,October,Fri:4:00 pm - 6:00 pm;
1005228,May - October,May ,October,Fri:8:00 AM - 12:00 PM;
1019044,May - October,May ,October,Wed: 4:00 PM-7:00 PM;
1010608,October - December,October , December,Sat: 9:00 AM-1:00 PM;
1004633,November - December,November , December,Sat: 9:00 AM-2:00 PM;
1003411,June - October,June ,October,Wed: 3:30 PM-6:30 PM;
1000540,,,,
1003134,,,,
1001448,,,,
1001017,,,,
1007121,,,,
1004882,April - October,April ,October,Sat:7:30 AM - 12:00 PM;
1009475,,,,
1009163,,,,
1003720,,,,
1019076,June - October,June ,October,Sat: 9:00 AM-1:00 PM;
1008721,May - October,May ,October,Wed: 8:00 AM-5:00 PM;Thu: 8:00 AM-5:00 PM;Fri: 8:00 AM-5:00 PM;Sat: 8:00 AM-3:00 PM;
1011333,January - December,January , December,Sun: 10:00 AM-3:00 PM;
1006740,,,,
1003662,June - October,June ,October,Thu: 3:00 PM-6:00 PM;Sat: 9:00 AM-12:00 PM;
1003814,,,,
1006519,,,,
1000790,April - December,April , December,sun:7:00 AM - 12:00 PM;
1001027,,,,
1010688,January - December,January , December,Thu: 8:00 AM-11:00 AM;
1008053,May - October,May ,October,Fri: 3:00 PM-8:00 PM;
1012081,April - November,April ,November,Sun: 11:00 AM-1:30 PM;
1012134,May - October,May ,October,Tue: 6:00 PM-9:00 PM;
1010152,May - October,May ,October,Sun: 9:00 AM-12:00 PM;
1002881,January - December,January , December,Sat: 6:00 AM-1:00 PM;
1004549,January - ,January , ,Tue: 7:00 AM-5:00 PM;Wed: 7:00 AM-5:00 PM;Thu: 7:00 AM-5:00 PM;Fri: 7:00 AM-5:00 PM;Sat: 7:00 AM-12:00 PM;
1001612,,,,
1008918,July - November,July ,November,Sat: 8:00 AM-4:00 PM;
1007268,May - October,May ,October,Tue: 7:30 AM-12:30 PM;Fri: 7:30 AM-12:30 PM;Sat: 7:30 AM-12:30 PM;
1008466,,,,
1003082,June - August,June , August,Thu: 5:00 PM-8:00 PM;
1018168,May - October,May ,October,Sat: 9:00 AM-12:00 PM;
1001604,June - October,June ,October,Thu: 11:00 AM-4:00 PM;
1003211,,,,
1000353,,,,
1002354,October - ,October , ,Sat: 9:00 AM-12:30 PM;
1018517,May - October,May ,October,Wed: 4:00 PM-7:30 PM;
1003976,May - October,May ,October,Tue: 8:00 AM-1:00 PM;Fri: 8:00 AM-1:00 PM;
1002269,,,,
1007010,,,,
1003550,,,,
1012205,May - October,May ,October,Sat: 10:00 AM-1:00 PM;
1002936,,,,
1006001,,,,Wed: 8:00 AM-3:00 PM;
1002564,,,,
1006441,,,,
1008194,May - September,May , September,Sat: 7:00 AM-12:00 PM;
1009308,,,,
1009402,,,,
1003335,,,,
1010197,July - September,July , September,Wed: 4:30 PM-6:00 PM;
1009522,,,,
1004987,May - September,May , September,Thu: 9:00 AM-1:30 PM;Sat: 8:00 AM-12:00 PM;
1000436,January - December,January , December,Sat: 10:00 AM-2:00 PM;
1005439,June - October,June ,October,Sat:8:00 AM - 12:00 PM;
1006462,June - September,June , September,Sun: 9:00 AM-1:00 PM;
1001325,June - October,June ,October,Tue: 8:00 AM-5:00 PM;Fri: 8:00 AM-5:00 PM;Sat: 8:00 AM-5:00 PM;
1007420,May - October,May ,October,Thu: 3:00 PM-7:00 PM;
1002294,,,,
1007305,May - October,May ,October,Sat:8:30 am - 12:00 pm;
1010533,,,,
1009051,May - October,May ,October,Wed: 9:00 AM-1:00 PM;Sat: 9:00 AM-1:00 PM;
1003806,May - November,May ,November,Wed: 3:00 PM-6:00 PM;Sat: 8:00 AM-12:00 PM;
1004026,,,,
1019150,October - December,October , December,Sun: 10:00 AM-2:00 PM;
1000919,,,,
1003239,,,,
1000057,June - November,June ,November,Sat: 8:00 AM-3:00 PM;
1005817,May - October,May ,October,Wed:8:00 am - 5:00 pm;
1016880,June - October,June ,October,Thu: 5:00 AM-8:00 PM;
1003728,,,,
1007808,,,,
1004003,,,,
1010298,July - September,July , September,Thu: 4:00 PM-7:00 PM;
1012004,January - ,January , ,
1008861,,,,
1007020,,,,
1009448,,,,
