FMID,MarketName,Website,Facebook,Twitter,Youtube,OtherMedia
1018965,61st Street Farmers Market,https://experimentalstation.org/market,61market,61market,,Instagram: 
1000061,79th Street Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,
1000062,82nd Street Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,
1000063,92nd Street Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,
1000064,97th Street Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,
1011989,9th and Grand Farmers Market,http://Farmtoforkks.com,,,,
1000986,9th West Farmers Market/People's Market ,http://www.9thwestfarmersmarket.org,https://www.facebook.com/9thwestfarmersmarket,https://twitter.com/peoplesmarket,,
1010617,A + Organic Farmers Market,http://organicgrowndirect.com/,https://www.facebook.com/OrganicProduceDelivery,https://twitter.com/OrganicGrownDr,http://www.youtube.com/user/OrganicGrownDirect,http://organicgrowndirect.com/shop
1001887,AAFFA Community Farmers Market,,https://www.facebook.com/pages/Anderson-Area-Farm-Food-Association/431344110224404,,,
1009028,ABBEVILLE FARMERS MARKET,,https://www.facebook.com/pages/Abbeville-Farmers-Market/234180039938887,,,
1003865,Abbott Northwestern Farmers Market,http://www.iatp.org/minimarkets,,,,
1002947,Aberdeen Farmers Market,http://www.dakotaflavor.com/category.asp?catid=12,,,,
1019473,Aberdeen Sunday Market,http://www.aberdeensundaymarket.org,Facebook.com/AberdeenSundayMarket,,,
1010487,Abingdon Farmers Market,http://www.abingdonfarmersmarket.com,https://www.facebook.com/abingdonfarmersmarket,,,
1000065,Abingdon Square Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,
1006988,Abington,http://www.abingtonsage.com,,,,
1011313,Abita Springs Farmers Market,,https://www.facebook.com/pages/Abita-Springs-Farmers-Market/480144062040727,,,
1004762,ABQ Uptown Growers' Market,http://www.abquptowngrowersmarket.org,,,,
1009543,ABV Farm Market,http://www.appleblossomvillage.com/,https://www.facebook.com/pages/Apple-Blossom-Village/105223639518965,,,
1002108,Acadia Farmers' Market in Town Hill,,www.Facebook.com/AcadiaFarmersMarket,,,
1008461,Acme Ranch Truck Patch,http://agrimissouri.com/mo-grown/grodetail.php?type=mo-grown&ID=1877,,,,
1011180,Acreage Green Market,http://Www.AcreageGreenMarket.com,https://www.facebook.com/AcreageGreenmarket,,,
1003469,Acton-Boxborough Farmers Market,http://www.ABFarmersMarket.org,,,,
1018003,Acushnet Farmers Market,http://www.acushnetfarmersmarket.com,www.facebook.com/pages/Acushnet-Farmers-Market,,,http://instagram.com/Acushnetfarmersmarket
1001083,Ada Farmers' Market,http://www.adafarmersmarket.com,https://www.facebook.com/adafarmersmarket,https://twitter.com/AdaFarmersMkt,,
1010467,Adairsville Farmers' Market,http://www.adairsvillefarmersmarket.com,Adairsville Farmers Market,,,
1019431,Adams County Farmer's Market,,facebook.com/acohfarmersmarket,,,
1019351,Adams County Farmers' Market Association,http://www.acfarmersmarkets.org,www.facebook.com/AdamsCountyFarmersMarket,https://twitter.com/ACFarmFresh,,www.instagram.com/adamscountyfarmersmarket
1011322,Adams County Farmers' Market Association (PA),http://www.acfarmersmarkets.org,Adams County Farm Fresh Markets,,,
1010354,Adams Farmers' & Artisans' Market,,https://www.facebook.com/Adams.Farmers.Market,,,
1018278,Adams Morgan Farmer Market,http://www.lickingcreekbendfarm.com,https://www.facebook.com,,,https://www.instagram.com/lickingcreekbendfarm/
1008961,Adaptations' Fresh Feast,http://www.adaptationsaloha.com,https://www.facebook.com/adaptationsaloha,https://twitter.com/MaureenDatta,,http://instagram.com/adaptationskona
1008667,Afton Village Farmers Market,http://www.piedmont-farmersmarket.com,,,,
1019203,AG Farmers' Market,http://AGFarmersMarket.com,http://www.facebook.com/AGFarmersMarket,http://twitter.com/AGFarmMarket,,http://www.instagram.com/agfarmersmarket
1012233,Agricenter International Farmer's Market,http://www.agricenter.org/farmersmarket/,https://www.facebook.com/farmersmarketmemphis/,https://twitter.com/Agricenter_Intl,https://www.youtube.com/channel/UCGksUsmHEJonFv5cwivsjZA,https://www.instagram.com/agricenterinternational/
1003562,Agritopia Farm Stand,http://www.thefarmatagritopia.com,https://www.facebook.com/TheFarmAtAgritopia,https://twitter.com/AgritopiaFarm,,https://instagram.com/agritopiafarm/
1000212,Aiken County Farmers Market,http://www.VisitAikenSC.com,,,,
1005258,Aina Moana  Park (People's Open Market),http://www.honolulu.gov/parks/programs/pom,,,,
1008054,Airport Farmers and Flea Market,,https://www.facebook.com/pages/Airport-Farmers-and-Flea-Market/,,,
1011967,Akers of Strawberries,http://Www.akersofstrawberries.com,www.facebook.com/AkersofStrawberries,,,
1008612,Alachua County Farmers' Market,http://www.441market.com,https://www.facebook.com/441acfmarket,,,http://pinterest.com/441market
1009019,Alameda Farmers' Market,http://www.pcfma.com,https://www.facebook.com/AlamedaFarmersMarket,,,
1018304,Alamo Heights Farmers Market,,https://www.facebook.com/AlamoHeightsFarmersMarket/,https://twitter.com/AlamoHeightsFM,,https://www.instagram.com/alamoheightsfm/?hl=en
1011033,Alamogordo Farmers' Market in Alameda Park,https://www.localharvest.org/alamogordo-farmers-market-in-alameda-park-M37997,https://www.facebook.com/AlamogordoFarmersMarket/,,,
1004789,Alamogordo Otero County Farmers' Market,http://farmersmarketsnm.org/Shoppers/FindMarket/find.php,,,,http://www.localharvest.org/alamogordo-otero-county-farmers-produce-and-craft-market-alamogord-farmers-market-M2737
1004070,Alamosa Farmers Market,http://www.alamosafarmersmarket.org,https://www.facebook.com/pages/Alamosa-Farmers-Market/104375596315429?fref=ts,,,
1004425,Albany  Downtown Farmers Market,http://www.eastbaker.net,,,,
1002175,Albany Farmers' Market,http://www.locallygrown.org,https://www.facebook.com/Corvallis.Albany.Farmers.Markets,https://twitter.com/RebeccaCAFM,,https://www.flickr.com/photos/50026834@N04/sets/
1019371,Albany IN Farmers Market,,https://www.facebook.com/Albany-IN-Farmers-Market-405175829889200/?modal=admin_todo_tour,,,
1019389,Albemarle Farmers Market,,www.facebook.com/albemarlefarmersmarket,,,
1011108,Albert Lea Farmers Market,http://albertleafarmersmarket.com,Albert Lea Farmers Market,,,
1010559,Albion Farmer's Market,http://greateralbionchamber.org,,,,
1010407,Albuquerque Downtown Growers' Market,http://DowntownGrowers.com,https://www.facebook.com/downtowngrowers?focus_composer=true&ref_type=bookmark,,,
1004761,Albuquerque Northeast Farmers' Market,http://www.abqnemarket.org,https://www.facebook.com/abqnemarket?fref=ts,,,www.FarmersMarketsNM.org
1002222,Alcona Farmers Market,http://www.alconalocalfoods.org,,,,
1008252,Alderson Farmers Market ,http://www.aldersonmarket.org,https://www.facebook.com/aldersonfood,,,
1003236,Aldrich Arena Farmers Market,http://www.stpaulfarmersmarket.com,,,,
1011910,Aledo Farmers Market,http://www.aledo-texas.com,City of Aledo,,,
1000519,Alexandria Bay Farmers Market,http://www.visitalexbay.org,https://www.facebook.com/pages/Alexandria-Bay-Chamber-of-Commerce/82504121853,,,
1018643,Alexandria Farmers Market,https://www.facebook.com/AlexandriaFarmersMarket/,Alexandria Farmers Market,,,@alexandriafarmersmarket (Instagram)
1019113,Alexandria Farmers Market,,"Alexandria, MN Farmers Market",,,
1011196,Alfred Farmers Market,https://www.alfredfarmersmarket.com,https://www.facebook.com/Alfredfarmersmarket,,,
1008835,Alisal Certified Farmers' Market,http://www.everyonesharvest.org,https://www.facebook.com/EveryonesHarvest,,,
1005548,All Locally Grown Produce,http://www.teenaspridecsa.com,https://www.facebook.com/teenaspridecsa,https://twitter.com/teenaspridecsa,,
1011735,All Natural & Certified Organic Farmer Market (HOPE FARM),http://www.hopeforsfs.org,Facebook.com/HOPESFS,,,
1010096,All Saints' Farmers Market,,https://www.facebook.com/allsaintsfarmersmarket,,,
1000268,All-Local Farmers Market,http://www.stateplate.org,,,,
1000168,All-Local Farmers Market 2,http://www.localharvest.org,,,,
1002717,Allegan Farmers Market,,https://www.facebook.com/Allegan-Farmers-Market-146878898707147/,,,
1008262,Alleghany Farmers Market,http://www.alleghanyfarmersmarket.com,https://www.facebook.com/pages/Alleghany-Farmers-Market/102331033194610,,,
1018160,Allen County Farmers Market - Tuesday,http://thriveallencounty.org/farmers-market/,https://www.facebook.com/Allen-County-Farmers-Market-140163699399288/,@RchallieRobin,,Instagram - schallierobin
1018165,Allen County Farmers' Market - Saturday,http://thriveallencounty.org/farmers-market/,https://www.facebook.com/Allen-County-Farmers-Market-140163699399288/,@RchallieRobin,,Instagram - schallierobin
1018105,Allen County Farmers' Market - Thursday,http://thriveallencounty.org/farmers-market/,https://www.facebook.com/Allen-County-Farmers-Market-140163699399288/,@RchallieRobin,,Instagram - schallierobin
1011777,Allen Farmers Market,http://allenneighborhoodcenter.org/food/market/,https://www.facebook.com/AllenFarmersMarket/,,,
1007716,Allentown Farigrounds Farmers Market,http://www.fairgroundsfarmersmkt.com,,,,
1005675,Alliance Farmers' Market,http://www.alliancefarmersmarket.com,https://www.facebook.com/alliancefarmersmarket,,,
1006739,Alliance for the Arts GreenMarket,http://www.artinlee.org,https://www.facebook.com/pages/Alliance-for-the-Arts-GreenMarket/224616377554765,,,
1002683,Allston Farmers' Market,http://www.dining.harvard.edu/flp/ag_market.html,,,,
1005134,Allston Village Farmers Market,http://www.allstonbrightoncdc.org/,https://www.facebook.com/AllstonVillageFarmersMarket,https://twitter.com/AVFarmersMarket,,
1007836,Almont Farmers' Market,http://www.almontfarmersmarket.com,,,,
1012389,Aloha Community Farmers' Market,http://www.alohacommunityfarmersmarket.org,https://www.facebook.com/Aloha-Community-Farmers-Market-913645008655691/,@AlohaFarmMarket,,Instagram: Aloha Community Farmers' Market
1010476,Alpena Farmers' Market,http://alpenafarmersmarket.org,Friends of the Alpena Farmers Market,,,
1005447,Alpha Nursery Farmers' Market,http://www.alpha-nursery.com,,,,
1009792,Alsip Farmers Market,http://www.alsipparks.org,,,,
1009998,Altadena Farmers' Market,http://www.altadenafarmersmarket.com,https://www.facebook.com/AltadenaFarmersMarket,https://twitter.com/AltadenaFM,,http://altadenafm.tumblr.com
1000357,Altavista Farmers Market,http://www.ci.altavista.va.us,,,,
1006749,Alton Farmers' and Artisans' Market,http://www.DowntownAlton.com,https://www.facebook.com/AltonFarmersMarket,,,
1011421,Alum Rock Village Farmers' Market,http://www.pcfma.org,www.facebook.com/AlumRockVillageFarmersMarket,www.twitter.com/PacCoastFarmers,,
1005644,Amador Farmers' Market-- Jackson,http://www.amadorfarmersmarket.com,,,,
1005645,Amador Farmers' Market-- Pine Grove,http://www.amadorfarmersmarket.com,,,,
1005646,Amador Farmers' Market-- Sutter Creek,http://www.amadorfarmersmarket.com,,,,
1008321,Amelia Barter Town Farmers Market,http://www.Ameliamarket.org,https://www.facebook.com/AmeliaBarterTown,,,
1008399,Amelia Farmers Market,http://www.ameliafarmersmarket.com,https://www.facebook.com/AmeliaFarmersMarket,,,
1005946,Amerisafe Downtown Pavilion & Farmers Market,http://www.cityofderidder.org,,,,
1011171,Ames Main Street Farmers' Market,http://www.amesmainsteetfarmersmarket.com,Ames Main Street Farmers' Market,,,
1000284,Amherst Farmers' Market,http://www.AmherstFarmersMarket.com,https://www.facebook.com/pages/Amherst-Farmers-Market/112695142075630,,,
1006748,Amherst Wednesday Market at Kendrick Park,http://www.kendrickparkmarket.com,https://www.facebook.com/pages/Wednesday-Market-at-Kendrick-Park/210000299034343,,,
1009833,Amherst Winter Farmers' Market,http://www.amherstwintermarket.com,https://www.facebook.com/pages/Amherst-Winter-Farmers-Market/107328206002708,,,
1003563,Amicalola Regional Farmers Market,,https://www.facebook.com/amicalolafarmersmarket/,,,
1018789,Amicalola Regional Farmers Market,,https://www.facebook.com/amicalolafarmersmarket,,,
1019438,Amqui Station Farmers Market,https://amquistation.org/farmers-market/,,,,
1016853,Amsterdam Saturday Farmers/Crafters Market,http://www.fmfma.org,Amsterdam Saturday Farmers Market,@BenWallach1,,
1012157,Anaconda Community Market,http://www.anacondacommunityfoundation.org/anaconda-community-market.html,https://www.facebook.com/groups/478915098830452/,,,
1005944,Anacortes Farmers Market,http://www.anacortesfarmersmarket.org,https://www.facebook.com/AnacortesFarmersMarket,,,
1001105,Anamoose Market in the Park,,https://www.facebook.com/AnamooseMarketInThePark,,,
1007258,Anchorage Farmers Market,http://www.anchoragefarmersmarket.org,,,,
1002640,Anchorage Market & Festival,http://www.anchoragemarkets.com,,,,
1018744,Anderson City Market,http://www.ppchog.org/acm,,,,
1008251,Anderson County Farmers Market,http://andersoncountysc.org/web/Farmers_00.asp,https://www.facebook.com/andersoncountyfarmersmarket,,,
1008727,Anderson County Farmers Market ,,https://www.facebook.com/AndersonCoFarmersMarket,,,
1004991,Anderson Farmers' Market,http://www.andersonfarmersmarket.org,,,,
1003516,Andersonville Farmers Market,http://www.andersonville.org,https://www.facebook.com/andersonville?ref=bookmarks,,,
1018698,Andover Farmers' Market,http://andoverhistorical.org/farmer-s-market-2017,https://www.facebook.com/andoverfarmersmarket/,,,https://www.instagram.com/andoverhistoricalsociety/?hl=en
1000287,Andrews Farmers Market,http://www.andrewsfarmersmarket.com,,,,
1006378,Angelica Farmers' Market,http://www.localharvest.org/angelica-farmers-market-M23451,https://www.facebook.com/AngelicaFarmersMarket,,,
1010280,Angelina County Farmers Market,http://visitlufkin.com/ShopDine/FarmersMarket/,https://www.facebook.com/angelinacountyfarmmarket/settings?tab=public&section=web_address,,,
1006268,Angels Camp Farmers Market-Fresh Fridays,http://www.angelscampbusiness.com/events/fresh-fridays/,,,,
1010223,Ann Arbor Farmers Market,http://www.a2gov.org/market,https://www.facebook.com/a2market,https://twitter.com/a2market,,
1010380,Anna House Farm Stand,http://www.childcarenassau.org,www.facebook.com/longislandfarmtopreschool,,,
1019484,Annandale Farmers Market ,https://www.fairfaxcounty.gov/parks/farmersmarkets/annandale,https://www.facebook.com/events/557660981411692/,,,@fairfaxfarmmarkets
1019096,Annandale Farmers Market - ACT,,Annandale Farmers Market,,,
1001142,Anne Arundel County Farmers' Market  (Riva),http://www.aacofarmersmarket.com/,"Anne Arundel County Farmers Market, INC",,,
1000306,Anselma Farmers' and Artisans' Market,,https://www.facebook.com/anselmamarket,,,
1011248,Antelope Valley Winery Farmer's Market ,http://www.avwinery.com,,,,
1012651,Anthem Farmers Market,http://www.arizonacommunityfarmersmarkets.com/FM_Anthem.html,ww.facebook.com/Anthem-Farmers-Market-608872579141231/,Anthemfm1,,
1018934,"Antigo Farmers Market, Inc.",http://www.antigomarket.com,"Antigo Farmers Market, Inc",,,
1019350,Antioch's Farmers Market,https://www.antioch.il.gov/?s=Farmers+Market,https://www.facebook.com/VillageOfAntioch/,,,
1011109,Apex Farmers Market,http://www.apexfarmersmarket.com,https://www.facebook.com/apexfarmersmarket,,,
1011158,"Appalachian (Newport) Farmers Market, Cocke County TN",,Newport Farmers Market or Appalachian Farmers Market,,,
1005207,Appalachian Farmers' Market,http://www.appfarmersmarket.com,,,,
1000683,Apple Country Farmers Market,http://www.applecountryorchards.com,,,,
1000685,Apple Country Farmers Market,http://www.applecountryorchards.com,,,,
1000431,Appleton Downtown Farm Market,http://www.appletondowntown.org,www.facebook.com/downtownappletonfarmmarket,,,
1009687,Aptos Farmers Market at Cabrillo College,http://www.montereybayfarmers.org,https://www.facebook.com/pages/Monterey-Bay-Certified-Farmers-Markets/112446802152723,https://twitter.com/MBFarmersMarket,,www.edibleparadise.com
1001738,Aquidneck Growers' Markets,http://www.aquidneckgrowersmarket.org,https://www.facebook.com/pages/Aquidneck-Growers-Market/145175198849594?ref=hl,,,
1010986,Aquidneck Growers' Markets in Newport,http://www.aquidneckgrowersmarket.org,https://www.facebook.com/pages/Aquidneck-Growers-Market/145175198849594?ref=hl,,,
1008482,Arbuckle Certified Farmers Market,http://arbucklerevitalization.org/farmersmarket.html,,,,
1012474,Arcadia's Mobile Market -- Barry Farm Recreation Center,http://arcadiafood.org/programs/mobile-market,,,https://www.youtube.com/user/ArcadiaFoodTV,
1012410,Arcadia's Mobile Market -- Children's National Medical Center WIC Clinic,http://arcadiafood.org/programs/mobile-market,,,https://www.youtube.com/user/ArcadiaFoodTV,
1012375,Arcadia's Mobile Market -- Community of Hope - Conway Health and Resource Center,http://arcadiafood.org/programs/mobile-market,,,https://www.youtube.com/user/ArcadiaFoodTV,
1012453,Arcadia's Mobile Market -- Community of Hope Family Health & Birth Center,http://arcadiafood.org/programs/mobile-market,,,https://www.youtube.com/user/ArcadiaFoodTV,
1012422,Arcadia's Mobile Market -- Congress Heights Senior Wellness Center,http://arcadiafood.org/programs/mobile-market,,,https://www.youtube.com/user/ArcadiaFoodTV,
1012455,Arcadia's Mobile Market -- Deanwood Recreation Center,http://arcadiafood.org/programs/mobile-market,,,https://www.youtube.com/user/ArcadiaFoodTV,
1012477,Arcadia's Mobile Market -- Edgewood Commons,http://arcadiafood.org/programs/mobile-market,,,https://www.youtube.com/user/ArcadiaFoodTV,
1012413,Arcadia's Mobile Market -- Hendley Elementary ,http://arcadiafood.org/programs/mobile-market,,,https://www.youtube.com/user/ArcadiaFoodTV,
1012419,Arcadia's Mobile Market -- Ledroit Park,http://arcadiafood.org/programs/mobile-market,,,https://www.youtube.com/user/ArcadiaFoodTV,
1012454,Arcadia's Mobile Market -- Parkside Unity Healthcare/Circle 7 Express,http://arcadiafood.org/programs/mobile-market,,,https://www.youtube.com/user/ArcadiaFoodTV,
1012374,Arcadia's Mobile Market -- The Overlook at Oxon Run,http://arcadiafood.org/programs/mobile-market,,,https://www.youtube.com/user/ArcadiaFoodTV,
1012427,Arcadia's Mobile Market -- United Medical Center,http://arcadiafood.org/programs/mobile-market,,,https://www.youtube.com/user/ArcadiaFoodTV,
1012377,Arcadia's Mobile Market -- Wah Luck House Chinatown,http://arcadiafood.org/programs/mobile-market,,,https://www.youtube.com/user/ArcadiaFoodTV,
1002085,Arcata Plaza Farmers' Market,http://www.humfarm.org,https://www.facebook.com/North.Coast.Growers.Association,,,
1018326,Archwood Green Barns Farmers' Market,,www.facebook.com/ArchwoodGreenBarnsFarmersMarket,,,
1007662,Area Farmers Market,http://www.brazosvalleyfarmersmarket.com,,,,
1002798,Arenac Conservation District Farmers Market,http://www.arenacconservationdistrict.com,,,,
1019187,Argus Farm Stop - Packard,http://www.argusfarmstop.com,https://www.facebook.com/argusfarmstop/,https://twitter.com/ArgusFarmStop,,https://www.instagram.com/argusfarmstop/?hl=en
1002314,Ark City Farm & Art Market,http://www.arkcity.org/CurrentEvents.asp?EID=1457,,,,
1001018,Arkansas Local Food Network Online Farmers Market,http://www.littlerock.locallygrown.net,,,,
1017963,Arlington Farm and Art Market,,https://www.facebook.com/ArlingtonFarmandArtMarket/,,,
1009968,Arlington Farmers Market,http://farmersmarketarlington.org,,,,
1018561,Arlington Farmers Market,http://www.afmwa.org,www.facebook.com/afmwa,,,
1008236,Arlington Farmers Market,http://www.arlingtonhasit.org,,,,
1018253,Arlington Farmers Market,http://www.community-foodworks.org/arlington-courthouse-market,https://www.facebook.com/ARLFoodworks/,https://twitter.com/ARLFoodworks,,https://www.instagram.com/arlfoodworks/?hl=en
1010945,Arlington Mill Farmers Market,http://www.columbiapike.org,www.facebook.com/pages/Columbia-Pike-Farmers-Marke,,,
1011958,Arlington Park Farmers Market,,https://www.facebook.com/friendsofarlingtonpark/?fref=ts,,,https://www.instagram.com/p/6aOvP7BLEo/
1019466,Armory Farmers Market,https://www.farmfreshri.org/,https://www.facebook.com/farmfreshri/,https://twitter.com/FarmFreshRI?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,,
1019222,Arnold Farmers Market,https://www.arnoldmo.org/government/departments/parks-recreation/arnold-farmers-market/,https://www.facebook.com/arnoldfarmersmarket/?ref=settings,ArnoldFarmMarket,,
1008855,Artisan and Agriculture Market,http://www.MacombConservationDistrict.org,https://www.facebook.com/macombcd,https://twitter.com/macombcd1,,
1010575,Artisan Exchange West Chester,http://www.artisanexchangewcpa.com,http://www.facebook.com/ArtisanExchangeWCPa,,,
1008534,Artisan Foodworks Thursday Evening Market,http://www.artisanfoodworks.com/,http://www.facebook.com/ArtisanFoodworksMKT,https://twitter.com/AFoodworksMKT,,
1005081,Arvada Farmers Market,http://www.arvadafarmersmarket.com,https://www.facebook.com/arvadafarmersmarket,,,
1009285,Arvada Five Parks Farmers Market,http://www.arvadafiveparksfarmersmarket.blogspot.com/,https://www.facebook.com/pages/Arvada-Five-Parks-Farmers-Market/469569033116556,,,
1009272,Asbury Fresh,http://www.asburyfresh.com/,,,,
1002490,Ashburn (Chicago) Farmers Market,http://www.cityofchicago.org/specialevents,,,,
1016829,Ashburnham Farmers' Market,http://Www.AshburnhamFarmersMarket.com,Ashburnham Farmers' Market,,,
1003219,Ashe County Farmers Market,http://www.ashefarmersmarket.com,https://www.facebook.com/ashe.farmers?fref=ts,,,
1008904,Asheville City Market,http://asapconnections.org/citymarket,https://www.facebook.com/AshevilleCityMarket,https://twitter.com/avlcitymarket,,
1008905,Asheville City Market - South,http://asapconnections.org/citymarket,https://www.facebook.com/AshevilleCityMarket,https://twitter.com/avlcitymarket,,
1000887,Ashfield Farmers Market,http://www.ashfieldfarmersmarket.com,,,,
1005158,Ashland Area Farmers Market,http://www.ashlandareafarmersmarket.com/,,,,
1008897,Ashland Farmers Market,http://www.facebook.com/ashlandfarmersmarket,https://www.facebook.com/ashlandfarmersmarket,https://twitter.com/ashlandvafm,,
1009810,Ashland Farmers Market,http://www.ashlandfarmersmarket.org/,https://www.facebook.com/AshlandMAFarmersMarket,,,
1000465,Ashland United Methodist Church Farmers Market,http://www.ashlandumc.com/gallery/seeds/seeds.htm,,,,
1000836,Ashley Valley Farmers' Market (Vernal),http://www.avfarmersmarket.com,,,,
1018712,Ashmont Farmers Market,,facebook.com/AshmontFarmMkt,twitter.com/AshmontFarmMkt,,instagram.com/greaterashmont/
1004530,Ashotn Farmers Market,http://www.gardenshelper.blogspot.com,,,,
1009244,Ashtabula Farmers Market,,https://www.facebook.com/AshtabulaFarmersMarket,,,
1004692,Aspen Grove Farmers' Market,http://www.denverfarmersmarket.com,https://www.facebook.com/denverfarmersmarket,,,
1000086,Astoria Greenmarket,http://www.grownyc.org,https://www.facebook.com/QueensGreenmarkets,,,
1003661,Astoria Sunday Market,http://www.AstoriaSundayMarket.com,,,,
1001245,ASU Regional Farmers Market,http://www.asuregionalfarmersmarket.org,https://www.facebook.com/asuregionalfarmersmarket,https://twitter.com/asufarmersmarket,,
1009516,ATACs Capitan Farmers Market,http://www.ataclincolncounty.org,https://www.facebook.com/pages/Capitan-Farmers-Market/160832100703579,,,
1009447,Atascadero  Farmers Market,http://www.northcountyfarmersmarkets.com/,https://www.facebook.com/NorthCountyFarmersMarkets,,,
1002984,Atchison Farmers Market,https://atchisonkansas.com/business-directory/atchison-farmers-market,https://www.facebook.com/AtchisonFarmersMarket/,,,
1005086,Athens Farmers Market,http://www.athensfarmersmarket.org,https://www.facebook.com/pages/Athens-Farmers-Market,,,
1010034,Athens Farmers Market at Market Park,http://cityofathenstn.com/parks,,,,
